layer	head	probe	baseline	ablated_acc	drop	macro_f1
6	5	texture	0.1242	0.1175	+0.0067	0.1167
6	5	shape	0.1131	0.1197	-0.0067	0.1245
6	5	spatial	0.1353	0.1353	+0.0000	0.1296
6	6	clean	0.1242	0.1264	-0.0022	0.1265
6	6	texture	0.1242	0.1197	+0.0044	0.1207
6	6	shape	0.1131	0.1153	-0.0022	0.1200
6	6	spatial	0.1353	0.1264	+0.0089	0.1216
6	7	clean	0.1242	0.1153	+0.0089	0.1159
6	7	texture	0.1242	0.1175	+0.0067	0.1168
6	7	shape	0.1131	0.1086	+0.0044	0.1140
6	7	spatial	0.1353	0.1308	+0.0044	0.1272
6	8	clean	0.1242	0.1175	+0.0067	0.1181
6	8	texture	0.1242	0.1264	-0.0022	0.1246
6	8	shape	0.1131	0.1086	+0.0044	0.1146
6	8	spatial	0.1353	0.1220	+0.0133	0.1185
6	9	clean	0.1242	0.1286	-0.0044	0.1258
6	9	texture	0.1242	0.1175	+0.0067	0.1178
6	9	shape	0.1131	0.1020	+0.0111	0.1107
6	9	spatial	0.1353	0.1220	+0.0133	0.1158
6	10	clean	0.1242	0.1197	+0.0044	0.1168
6	10	texture	0.1242	0.1175	+0.0067	0.1146
6	10	shape	0.1131	0.1086	+0.0044	0.1138
6	10	spatial	0.1353	0.1330	+0.0022	0.1267
6	11	clean	0.1242	0.1264	-0.0022	0.1283
6	11	texture	0.1242	0.1220	+0.0022	0.1178
6	11	shape	0.1131	0.1242	-0.0111	0.1287
6	11	spatial	0.1353	0.1330	+0.0022	0.1286
7	0	clean	0.1242	0.1242	+0.0000	0.1231
7	0	texture	0.1242	0.1242	+0.0000	0.1213
7	0	shape	0.1131	0.1153	-0.0022	0.1197
7	0	spatial	0.1353	0.1220	+0.0133	0.1211
7	1	clean	0.1242	0.1175	+0.0067	0.1165
7	1	texture	0.1242	0.1109	+0.0133	0.1077
7	1	shape	0.1131	0.1131	+0.0000	0.1178
7	1	spatial	0.1353	0.1286	+0.0067	0.1246
7	2	clean	0.1242	0.1220	+0.0022	0.1226
7	2	texture	0.1242	0.1175	+0.0067	0.1171
7	2	shape	0.1131	0.1064	+0.0067	0.1136
7	2	spatial	0.1353	0.1220	+0.0133	0.1196
7	3	clean	0.1242	0.1220	+0.0022	0.1246
7	3	texture	0.1242	0.1131	+0.0111	0.1134
7	3	shape	0.1131	0.1064	+0.0067	0.1124
7	3	spatial	0.1353	0.1330	+0.0022	0.1301
7	4	clean	0.1242	0.1220	+0.0022	0.1225
7	4	texture	0.1242	0.1286	-0.0044	0.1222
7	4	shape	0.1131	0.1153	-0.0022	0.1231
7	4	spatial	0.1353	0.1308	+0.0044	0.1285
7	5	clean	0.1242	0.1242	+0.0000	0.1240
7	5	texture	0.1242	0.1220	+0.0022	0.1208
7	5	shape	0.1131	0.1086	+0.0044	0.1138
7	5	spatial	0.1353	0.1286	+0.0067	0.1246
7	6	clean	0.1242	0.1175	+0.0067	0.1190
7	6	texture	0.1242	0.1197	+0.0044	0.1195
7	6	shape	0.1131	0.1020	+0.0111	0.1051
7	6	spatial	0.1353	0.1308	+0.0044	0.1260
7	7	clean	0.1242	0.1175	+0.0067	0.1183
7	7	texture	0.1242	0.1242	+0.0000	0.1225
7	7	shape	0.1131	0.1197	-0.0067	0.1264
7	7	spatial	0.1353	0.1353	+0.0000	0.1337
7	8	clean	0.1242	0.1220	+0.0022	0.1189
7	8	texture	0.1242	0.1264	-0.0022	0.1247
7	8	shape	0.1131	0.1086	+0.0044	0.1112
7	8	spatial	0.1353	0.1197	+0.0155	0.1168
7	9	clean	0.1242	0.1175	+0.0067	0.1183
7	9	texture	0.1242	0.1131	+0.0111	0.1105
7	9	shape	0.1131	0.1131	+0.0000	0.1200
7	9	spatial	0.1353	0.1308	+0.0044	0.1281
7	10	clean	0.1242	0.1153	+0.0089	0.1154
7	10	texture	0.1242	0.1197	+0.0044	0.1162
7	10	shape	0.1131	0.1064	+0.0067	0.1110
7	10	spatial	0.1353	0.1264	+0.0089	0.1228
7	11	clean	0.1242	0.1330	-0.0089	0.1343
7	11	texture	0.1242	0.1153	+0.0089	0.1139
7	11	shape	0.1131	0.1197	-0.0067	0.1250
7	11	spatial	0.1353	0.1308	+0.0044	0.1276
8	0	clean	0.1242	0.1264	-0.0022	0.1235
8	0	texture	0.1242	0.1175	+0.0067	0.1132
8	0	shape	0.1131	0.1086	+0.0044	0.1168
8	0	spatial	0.1353	0.1264	+0.0089	0.1212
8	1	clean	0.1242	0.1220	+0.0022	0.1214
8	1	texture	0.1242	0.1197	+0.0044	0.1162
8	1	shape	0.1131	0.1086	+0.0044	0.1160
8	1	spatial	0.1353	0.1175	+0.0177	0.1167
8	2	clean	0.1242	0.1220	+0.0022	0.1191
8	2	texture	0.1242	0.1086	+0.0155	0.1072
8	2	shape	0.1131	0.1153	-0.0022	0.1198
8	2	spatial	0.1353	0.1286	+0.0067	0.1252
8	3	clean	0.1242	0.1242	+0.0000	0.1226
8	3	texture	0.1242	0.1064	+0.0177	0.1043
8	3	shape	0.1131	0.1109	+0.0022	0.1166
8	3	spatial	0.1353	0.1197	+0.0155	0.1162
8	4	clean	0.1242	0.1086	+0.0155	0.1095
8	4	texture	0.1242	0.1175	+0.0067	0.1160
8	4	shape	0.1131	0.1064	+0.0067	0.1152
8	4	spatial	0.1353	0.1264	+0.0089	0.1225
8	5	clean	0.1242	0.1109	+0.0133	0.1130
8	5	texture	0.1242	0.1197	+0.0044	0.1187
8	5	shape	0.1131	0.1175	-0.0044	0.1238
8	5	spatial	0.1353	0.1220	+0.0133	0.1176
8	6	clean	0.1242	0.1175	+0.0067	0.1168
8	6	texture	0.1242	0.1175	+0.0067	0.1151
8	6	shape	0.1131	0.1175	-0.0044	0.1199
8	6	spatial	0.1353	0.1375	-0.0022	0.1311
8	7	clean	0.1242	0.1242	+0.0000	0.1218
8	7	texture	0.1242	0.1220	+0.0022	0.1180
8	7	shape	0.1131	0.1109	+0.0022	0.1165
8	7	spatial	0.1353	0.1330	+0.0022	0.1279
8	8	clean	0.1242	0.1308	-0.0067	0.1276
8	8	texture	0.1242	0.1197	+0.0044	0.1184
8	8	shape	0.1131	0.1131	+0.0000	0.1197
8	8	spatial	0.1353	0.1330	+0.0022	0.1298
8	9	clean	0.1242	0.1153	+0.0089	0.1138
8	9	texture	0.1242	0.1086	+0.0155	0.1059
8	9	shape	0.1131	0.1086	+0.0044	0.1112
8	9	spatial	0.1353	0.1330	+0.0022	0.1266
8	10	clean	0.1242	0.1286	-0.0044	0.1287
8	10	texture	0.1242	0.1153	+0.0089	0.1135
8	10	shape	0.1131	0.1086	+0.0044	0.1129
8	10	spatial	0.1353	0.1308	+0.0044	0.1251
8	11	clean	0.1242	0.1330	-0.0089	0.1302
8	11	texture	0.1242	0.1242	+0.0000	0.1205
8	11	shape	0.1131	0.1175	-0.0044	0.1223
8	11	spatial	0.1353	0.1308	+0.0044	0.1273
9	0	clean	0.1242	0.1220	+0.0022	0.1203
9	0	texture	0.1242	0.1175	+0.0067	0.1158
9	0	shape	0.1131	0.1153	-0.0022	0.1203
9	0	spatial	0.1353	0.1264	+0.0089	0.1210
9	1	clean	0.1242	0.1220	+0.0022	0.1194
9	1	texture	0.1242	0.1242	+0.0000	0.1198
9	1	shape	0.1131	0.1175	-0.0044	0.1188
9	1	spatial	0.1353	0.1353	+0.0000	0.1307
9	2	clean	0.1242	0.1175	+0.0067	0.1181
9	2	texture	0.1242	0.1197	+0.0044	0.1174
9	2	shape	0.1131	0.1020	+0.0111	0.1077
9	2	spatial	0.1353	0.1330	+0.0022	0.1291
9	3	clean	0.1242	0.1220	+0.0022	0.1215
9	3	texture	0.1242	0.1086	+0.0155	0.1068
9	3	shape	0.1131	0.1086	+0.0044	0.1153
9	3	spatial	0.1353	0.1286	+0.0067	0.1262
9	4	clean	0.1242	0.1242	+0.0000	0.1245
9	4	texture	0.1242	0.1197	+0.0044	0.1188
9	4	shape	0.1131	0.1153	-0.0022	0.1225
9	4	spatial	0.1353	0.1242	+0.0111	0.1208
9	5	clean	0.1242	0.1109	+0.0133	0.1131
9	5	texture	0.1242	0.1175	+0.0067	0.1143
9	5	shape	0.1131	0.1086	+0.0044	0.1160
9	5	spatial	0.1353	0.1220	+0.0133	0.1173
9	6	clean	0.1242	0.1264	-0.0022	0.1269
9	6	texture	0.1242	0.1220	+0.0022	0.1219
9	6	shape	0.1131	0.1175	-0.0044	0.1236
